Address,restaurantNumber,restaurantName,Item Name,Item Type,Item Price,Item Delivery Price,Protein
10387 S State St,1104,Sandy,Sofritas Quesadilla,Quesadilla,9.65,12.55,Sofritas
10387 S State St,1104,Sandy,Chicken al Pastor Quesadilla,Quesadilla,10.15,13.2,Chicken al Pastor
10387 S State St,1104,Sandy,Chicken Quesadilla,Quesadilla,9.65,12.55,Chicken
10387 S State St,1104,Sandy,Cheese Only Quesadilla,Quesadilla,9.65,12.55,Cheese Only
10387 S State St,1104,Sandy,Steak Quesadilla,Quesadilla,11.4,14.8,Steak
5141 S State St,2532,Murray,Carnitas Burrito,Burrito,10.1,13.15,Carnitas
5141 S State St,2532,Murray,Veggie Burrito,Burrito,9.45,12.3,Veggie
5141 S State St,2532,Murray,Beef Barbacoa Burrito,Burrito,11.2,14.55,Beef Barbacoa
5141 S State St,2532,Murray,Steak Burrito,Burrito,11.2,14.55,Steak
5141 S State St,2532,Murray,Chicken Burrito,Burrito,9.45,12.3,Chicken
5141 S State St,2532,Murray,Sofritas Burrito,Burrito,9.45,12.3,Sofritas
5141 S State St,2532,Murray,Chicken al Pastor Burrito,Burrito,9.95,12.95,Chicken al Pastor
5141 S State St,2532,Murray,Steak Taco,Tacos,11.2,14.55,Steak
5141 S State St,2532,Murray,Chicken Taco,Tacos,9.45,12.3,Chicken
5141 S State St,2532,Murray,Carnitas Taco,Tacos,10.1,13.15,Carnitas
5141 S State St,2532,Murray,Veggie Taco,Tacos,9.45,12.3,Veggie
5141 S State St,2532,Murray,Beef Barbacoa Taco,Tacos,11.2,14.55,Beef Barbacoa
5141 S State St,2532,Murray,Sofritas Taco,Tacos,9.45,12.3,Sofritas
5141 S State St,2532,Murray,Chicken al Pastor Taco,Tacos,3.6,4.7,Chicken al Pastor
5141 S State St,2532,Murray,Chicken al Pastor Taco,Tacos,9.95,12.95,Chicken al Pastor
5141 S State St,2532,Murray,Veggie Taco,Tacos,3.4,4.4,Veggie
5141 S State St,2532,Murray,Carnitas Taco,Tacos,3.6,4.7,Carnitas
5141 S State St,2532,Murray,Beef Barbacoa Taco,Tacos,4.05,5.25,Beef Barbacoa
5141 S State St,2532,Murray,Chicken Taco,Tacos,3.4,4.4,Chicken
5141 S State St,2532,Murray,Steak Taco,Tacos,4.05,5.25,Steak
5141 S State St,2532,Murray,Sofritas Taco,Tacos,3.4,4.4,Sofritas
5141 S State St,2532,Murray,Steak Bowl,Bowl,11.2,14.55,Steak
5141 S State St,2532,Murray,Chicken Bowl,Bowl,9.45,12.3,Chicken
5141 S State St,2532,Murray,Carnitas Bowl,Bowl,10.1,13.15,Carnitas
5141 S State St,2532,Murray,Veggie Bowl,Bowl,9.45,12.3,Veggie
5141 S State St,2532,Murray,Beef Barbacoa Bowl,Bowl,11.2,14.55,Beef Barbacoa
5141 S State St,2532,Murray,Chicken al Pastor Bowl,Bowl,9.95,12.95,Chicken al Pastor
5141 S State St,2532,Murray,Sofritas Bowl,Bowl,9.45,12.3,Sofritas
5141 S State St,2532,Murray,Steak Salad,Salad,11.2,14.55,Steak
5141 S State St,2532,Murray,Chicken Salad,Salad,9.45,12.3,Chicken
5141 S State St,2532,Murray,Carnitas Salad,Salad,10.1,13.15,Carnitas
5141 S State St,2532,Murray,Beef Barbacoa Salad,Salad,11.2,14.55,Beef Barbacoa
5141 S State St,2532,Murray,Veggie Salad,Salad,9.45,12.3,Veggie
5141 S State St,2532,Murray,Sofritas Salad,Salad,9.45,12.3,Sofritas
5141 S State St,2532,Murray,Chicken al Pastor Salad,Salad,9.95,12.95,Chicken al Pastor
5141 S State St,2532,Murray,Cheese Kids Build Your Own,KidsBYO,5.7,7.4,Cheese
5141 S State St,2532,Murray,Chicken Kids Build Your Own,KidsBYO,5.7,7.4,Chicken
5141 S State St,2532,Murray,Steak Kids Build Your Own,KidsBYO,5.7,7.4,Steak
5141 S State St,2532,Murray,Carnitas Kids Build Your Own,KidsBYO,5.7,7.4,Carnitas
5141 S State St,2532,Murray,Beef Barbacoa Kids Build Your Own,KidsBYO,5.7,7.4,Beef Barbacoa
5141 S State St,2532,Murray,Sofritas Kids Build Your Own,KidsBYO,5.7,7.4,Sofritas
5141 S State St,2532,Murray,Chicken al Pastor Kids Build Your Own,KidsBYO,5.7,7.4,Chicken al Pastor
5141 S State St,2532,Murray,Guacamole Kids Build Your Own,KidsBYO,5.7,7.4,Guacamole
5141 S State St,2532,Murray,Queso Blanco Kids Build Your Own,KidsBYO,5.7,7.4,Queso Blanco
5141 S State St,2532,Murray,Cheese Only Kids Quesadilla,KidsQuesadilla,4.6,6,Cheese Only
5141 S State St,2532,Murray,Chicken Kids Quesadilla,KidsQuesadilla,5,6.5,Chicken
5141 S State St,2532,Murray,Steak Kids Quesadilla,KidsQuesadilla,5,6.5,Steak
5141 S State St,2532,Murray,Carnitas Kids Quesadilla,KidsQuesadilla,5,6.5,Carnitas
5141 S State St,2532,Murray,Beef Barbacoa Kids Quesadilla,KidsQuesadilla,5,6.5,Beef Barbacoa
5141 S State St,2532,Murray,Sofritas Kids Quesadilla,KidsQuesadilla,5,6.5,Sofritas
5141 S State St,2532,Murray,Guacamole Kids Quesadilla,KidsQuesadilla,5,6.5,Guacamole
5141 S State St,2532,Murray,Chicken al Pastor Kids Quesadilla,KidsQuesadilla,5,6.5,Chicken al Pastor
5141 S State St,2532,Murray,Carnitas Quesadilla,Quesadilla,10.65,13.85,Carnitas
5141 S State St,2532,Murray,Beef Barbacoa Quesadilla,Quesadilla,11.75,15.3,Beef Barbacoa
5141 S State St,2532,Murray,Sofritas Quesadilla,Quesadilla,10,13,Sofritas
5141 S State St,2532,Murray,Chicken al Pastor Quesadilla,Quesadilla,10.5,13.65,Chicken al Pastor
5141 S State St,2532,Murray,Chicken Quesadilla,Quesadilla,10,13,Chicken
5141 S State St,2532,Murray,Cheese Only Quesadilla,Quesadilla,10,13,Cheese Only
5141 S State St,2532,Murray,Steak Quesadilla,Quesadilla,11.75,15.3,Steak
3561 W 11400 S,4198,South Jordan,Carnitas Burrito,Burrito,9.75,12.7,Carnitas
3561 W 11400 S,4198,South Jordan,Veggie Burrito,Burrito,9.1,11.85,Veggie
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Burrito,Burrito,10.85,14.1,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Steak Burrito,Burrito,10.85,14.1,Steak
3561 W 11400 S,4198,South Jordan,Chicken Burrito,Burrito,9.1,11.85,Chicken
3561 W 11400 S,4198,South Jordan,Sofritas Burrito,Burrito,9.1,11.85,Sofritas
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Burrito,Burrito,9.6,12.5,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Steak Taco,Tacos,10.85,14.1,Steak
3561 W 11400 S,4198,South Jordan,Chicken Taco,Tacos,9.1,11.85,Chicken
3561 W 11400 S,4198,South Jordan,Carnitas Taco,Tacos,9.75,12.7,Carnitas
3561 W 11400 S,4198,South Jordan,Veggie Taco,Tacos,9.1,11.85,Veggie
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Taco,Tacos,10.85,14.1,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Sofritas Taco,Tacos,9.1,11.85,Sofritas
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Taco,Tacos,3.5,4.55,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Taco,Tacos,9.6,12.5,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Veggie Taco,Tacos,3.3,4.3,Veggie
3561 W 11400 S,4198,South Jordan,Carnitas Taco,Tacos,3.5,4.55,Carnitas
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Taco,Tacos,3.95,5.15,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Chicken Taco,Tacos,3.3,4.3,Chicken
3561 W 11400 S,4198,South Jordan,Steak Taco,Tacos,3.95,5.15,Steak
3561 W 11400 S,4198,South Jordan,Sofritas Taco,Tacos,3.3,4.3,Sofritas
3561 W 11400 S,4198,South Jordan,Steak Bowl,Bowl,10.85,14.1,Steak
3561 W 11400 S,4198,South Jordan,Chicken Bowl,Bowl,9.1,11.85,Chicken
3561 W 11400 S,4198,South Jordan,Carnitas Bowl,Bowl,9.75,12.7,Carnitas
3561 W 11400 S,4198,South Jordan,Veggie Bowl,Bowl,9.1,11.85,Veggie
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Bowl,Bowl,10.85,14.1,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Bowl,Bowl,9.6,12.5,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Sofritas Bowl,Bowl,9.1,11.85,Sofritas
3561 W 11400 S,4198,South Jordan,Steak Salad,Salad,10.85,14.1,Steak
3561 W 11400 S,4198,South Jordan,Chicken Salad,Salad,9.1,11.85,Chicken
3561 W 11400 S,4198,South Jordan,Carnitas Salad,Salad,9.75,12.7,Carnitas
3561 W 11400 S,4198,South Jordan,Beef Barbacoa Salad,Salad,10.85,14.1,Beef Barbacoa
3561 W 11400 S,4198,South Jordan,Veggie Salad,Salad,9.1,11.85,Veggie
3561 W 11400 S,4198,South Jordan,Sofritas Salad,Salad,9.1,11.85,Sofritas
3561 W 11400 S,4198,South Jordan,Chicken al Pastor Salad,Salad,9.6,12.5,Chicken al Pastor
3561 W 11400 S,4198,South Jordan,Cheese Kids Build Your Own,KidsBYO,5.6,7.3,Cheese
3561 W 11400 S,4198,South Jordan,Chicken Kids Build Your Own,KidsBYO,5.6,7.3,Chicken
3561 W 11400 S,4198,South Jordan,Steak Kids Build Your Own,KidsBYO,5.6,7.3,Steak
3561 W 11400 S,4198,South Jordan,Carnitas Kids Build Your Own,KidsBYO,5.6,7.3,Carnitas
